  92	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  93	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  94	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  95	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  96	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  97	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  98	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
  99	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
 100	      open	     0	 heartbeat	   414	    closed	     0	    mydist	   475	
 101	      open	     0	 heartbeat	   458	    closed	     0	    mydist	   475	
 102	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 103	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 104	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 105	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 106	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 107	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 108	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 109	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 110	      open	     0	 heartbeat	   460	    closed	     0	    mydist	   475	
 111	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 112	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 113	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 114	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 115	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 116	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 117	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 118	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 119	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 120	      open	     0	 heartbeat	   506	    closed	     0	    mydist	   475	
 121	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 122	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 123	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 124	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 125	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 126	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
